Question Type,Question Format,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation

MCQ,Choose the correct answer,Bauxite has the composition,Al2O3,Al2O3.nH2O,Fe2O3.2H2O,None of these,Al2O3.nH2O,Bauxite is a hydrated form of aluminum oxide

MCQ,Choose the correct answer,"Roasting of sulphide ore gives the gas (A). (A) is a colorless gas. An aqueous solution of (A) is acidic. The gas (A) is",CO2,SO3,SO2,H2S,SO2,Roasting of sulfide ores produces sulfur dioxide which is colorless and forms an acidic solution

MCQ,Choose the correct answer,Which one of the following reaction represents calcinations?,2Zn + O2 → 2ZnO,2ZnS + 3O2 → 2ZnO + 2SO2,MgCO3 → MgO + CO2,Both (a) and (c),MgCO3 → MgO + CO2,Calcination involves heating of carbonate ores to form metal oxide and CO2

MCQ,Choose the correct answer,The metal oxide which cannot be reduced to metal by carbon is,PbO,Al2O3,ZnO,FeO,Al2O3,Aluminum oxide cannot be reduced by carbon due to its high stability

MCQ,Choose the correct answer,Which of the metal is extracted by Hall – Heroult process?,Al,Ni,Cu,Zn,Al,Hall-Heroult process is used for the extraction of aluminum from alumina

MCQ,Choose the correct answer,Which of the following statements about the advantage of roasting of sulphide ore before the reduction is not true?,ΔG°f of sulphide is greater than those for CS2 and H2S,ΔG°r is negative for roasting of sulphide ore to oxide,Roasting of the sulphide to its oxide is thermodynamically feasible,Carbon and hydrogen are suitable reducing agents for metal sulphides,Carbon and hydrogen are suitable reducing agents for metal sulphides,Carbon and hydrogen are not suitable reducing agents for metal sulfides

MCQ,Choose the correct answer,Wolframite ore is separated from tinstone by the process of,Smelting,Calcination,Roasting,Electromagnetic separation,Electromagnetic separation,Electromagnetic separation is used due to the magnetic properties of wolframite

MCQ,Choose the correct answer,Which one of the following is not feasible,Zn(S) + Cu2+(aq) → Cu(s) + Zn2+(aq),Cu(S) + Zn2+(aq) → Zn(s) + Cu2+(aq),Cu(S) + 2Ag+(aq) → Ag(s) + Cu2+(aq),Fe(S) + Cu2+(aq) → Cu(s) + Fe2+(aq),Cu(S) + Zn2+(aq) → Zn(s) + Cu2+(aq),This reaction is not feasible as copper cannot reduce zinc ions

MCQ,Choose the correct answer,Electrochemical process is used to extract,Iron,Lead,Sodium,Silver,Sodium,Electrochemical processes are used for extracting highly reactive metals like sodium

MCQ,Choose the correct answer,Flux is a substance which is used to convert,Mineral into silicate,Infusible impurities to soluble impurities,Soluble impurities to infusible impurities,All of these,Infusible impurities to soluble impurities,Flux converts infusible impurities into soluble slag

MCQ,Choose the correct answer,Which one of the following ores is best concentrated by froth floatation method?,Magnetite,Heamatite,Galena,Cassiterite,Galena,Galena (PbS) is a sulfide ore best concentrated by froth flotation

MCQ,Choose the correct answer,"In the extraction of aluminium from alumina by electrolysis, cryolite is added to",Lower the melting point of alumina,Remove impurities from alumina,Decrease the electrical conductivity,Increase the rate of reduction,Lower the melting point of alumina,Cryolite reduces the melting point of the electrolyte mixture

MCQ,Choose the correct answer,Zinc is obtained from ZnO by,Carbon reduction,Reduction using silver,Electrochemical process,Acid leaching,Carbon reduction,ZnO is reduced to Zn using carbon as reducing agent

MCQ,Choose the correct answer,Extraction of gold and silver involves leaching with cyanide ion. Silver is later recovered by (NEET – 2017),Distillation,Zone refining,Displacement with zinc,Liquation,Displacement with zinc,Silver is recovered from its cyanide solution by displacement with zinc

MCQ,Choose the correct answer,"Considering the Ellingham diagram, which of the following metals can be used to reduce alumina? (NEET – 2018)",Fe,Cu,Mg,Zn,Mg,Magnesium can reduce alumina as shown by Ellingham diagram

MCQ,Choose the correct answer,"The following set of reactions are used in refining Zirconium: Zr(impure) + 2I2 → ZrI4, ZrI4 → Zr(pure) + 2I2. This method is known as",Liquation,Van Arkel process,Zone refining,Mond's process,Van Arkel process,Van Arkel process uses volatile iodide formation and decomposition

MCQ,Choose the correct answer,Which of the following is used for concentrating ore in metallurgy?,Leaching,Roasting,Froth floatation,Both (a) and (c),Both (a) and (c),Both leaching and froth flotation are concentration methods

MCQ,Choose the correct answer,The incorrect statement among the following is,Nickel is refined by Mond's process,Titanium is refined by Van Arkel's process,Zinc blende is concentrated by froth floatation,In the metallurgy of gold the metal is leached with a dilute sodium chloride solution,In the metallurgy of gold the metal is leached with a dilute sodium chloride solution,Gold is leached with cyanide solution not sodium chloride

MCQ,Choose the correct answer,"In the electrolytic refining of copper, which one of the following is used as anode?",Pure copper,Impure copper,Carbon rod,Platinum electrode,Impure copper,Impure copper is used as anode in electrolytic refining

MCQ,Choose the correct answer,Which of the following plot gives Ellingham diagram,ΔS VsT,ΔG° VsT,ΔG° Vs1/T,ΔG° VsT²,ΔG° VsT,Ellingham diagram plots standard free energy change vs temperature

MCQ,Choose the correct answer,"In the Ellingham diagram, for the formation of carbon monoxide",The slope is positive above 700°C,The slope is negative above 700°C,(ΔG°/ΔT) is negative,None of these,(ΔG°/ΔT) is negative,The slope of CO formation line in Ellingham diagram is negative

MCQ,Choose the correct answer,Which of the following reduction is not thermodynamically feasible?,Cr2O3 + 2Al → Al2O3 + 2Cr,Al2O3 + 2Cr → Cr2O3 + 2Al,3TiO2 + 4Al → 2Al2O3 + 3Ti,None of these,Al2O3 + 2Cr → Cr2O3 + 2Al,This reduction is not feasible as Al2O3 is more stable than Cr2O3

MCQ,Choose the correct answer,Which of the following is not true with respect to the Ellingham diagram?,Free energy changes follow a straight line. The deviation occurs when there is a phase change.,The graph for the formation of CO2 is a straight line almost parallel to the free energy axis.,Negative slope of CO shows that it becomes more stable with an increase in temperature.,Positive slope of metal oxides shows that their stabilities decrease with an increase in temperature.,The graph for the formation of CO2 is a straight line almost parallel to the free energy axis.,The CO2 formation line has a significant slope in the Ellingham diagram

Short Answer,Answer the following questions,What is the difference between minerals and ores?,NA,NA,NA,NA,NA,"Minerals: Low percentage of metal, difficult extraction, e.g., Clay (Al2O3.SiO2.2H2O)
Ores: High percentage of metal, economical extraction, e.g., Bauxite (Al2O3.2H2O)"

Short Answer,Answer the following questions,What are the various steps involved in the extraction of pure metals from their ores?,NA,NA,NA,NA,NA,"1. Concentration of the ore
2. Extraction of crude metal
3. Refining of crude metal"

Short Answer,Answer the following questions,What is the role of Limestone in the extraction of iron from its oxide Fe2O3?,NA,NA,NA,NA,NA,"Limestone (CaO) acts as a flux
Forms fusible slag with gangue (silica)
CaO + SiO2 → CaSiO3 (slag)"

Short Answer,Answer the following questions,Which type of ores can be concentrated by froth floatation method? Give two examples.,NA,NA,NA,NA,NA,"Sulphide ores can be concentrated by froth flotation.
Examples:
1. Copper pyrites (CuFeS2)
2. Zinc blende (ZnS)
3. Galena (PbS)"

Short Answer,Answer the following questions,Describe a method for refining nickel (Mond process),NA,NA,NA,NA,NA,"1. Impure nickel heated with CO at 350K to form Ni(CO)4
2. Ni(CO)4 decomposed at 460K to give pure nickel
Ni(s) + 4CO(g) → Ni(CO)4(g)
Ni(CO)4(g) → Ni(s) + 4CO(g)"

Short Answer,Answer the following questions,Explain zone refining process with an example.,NA,NA,NA,NA,NA,"1. Based on fractional crystallization
2. Impure metal rod heated with mobile heater
3. Pure metal crystallizes while impurities move with molten zone
4. Process repeated multiple times
5. Used for Ge Si Ga purification"

Short Answer,Answer the following questions,Using the Ellingham diagram predict the conditions under which: (i) Aluminium might be expected to reduce magnesia (ii) Magnesium could reduce alumina,NA,NA,NA,NA,NA,"i) Above 1600K - Al can reduce MgO as Al line lies below Mg line
ii) Below 1600K - Mg can reduce Al2O3 as Mg line lies below Al line"

